exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
11,sim-11.json,crop-11.json,site-11.json,climate_10170.csv,wheat.json,winter-wheat-apache.json,0,WW,
13,sim-13.json,crop-13.json,site-13.json,climate_10170.csv,wheat.json,winter-wheat-apache.json,0,WW,
